date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
02/01/18,Iraq,United Arab Emirates,0,0,Gulf Cup,Kuwait City,Kuwait,TRUE
02/01/18,Oman,Bahrain,1,0,Gulf Cup,Kuwait City,Kuwait,TRUE
05/01/18,Oman,United Arab Emirates,0,0,Gulf Cup,Kuwait City,Kuwait,TRUE
07/01/18,Estonia,Sweden,1,1,Friendly,Abu Dhabi,United Arab Emirates,TRUE
11/01/18,Denmark,Sweden,0,1,Friendly,Abu Dhabi,United Arab Emirates,TRUE
11/01/18,Indonesia,Iceland,0,6,Friendly,Sleman,Indonesia,FALSE
11/01/18,Jordan,Finland,1,2,Friendly,Abu Dhabi,United Arab Emirates,TRUE
14/01/18,Indonesia,Iceland,1,4,Friendly,Jakarta,Indonesia,FALSE
27/01/18,Moldova,South Korea,0,1,Friendly,Antalya,Turkey,TRUE
28/01/18,United States,Bosnia and Herzegovina,0,0,Friendly,Carson,United States,FALSE
28/01/18,Yorkshire,Ellan Vannin,1,1,Friendly,Fitzwilliam,England,FALSE
30/01/18,Azerbaijan,Moldova,0,0,Friendly,Antalya,Turkey,TRUE
30/01/18,Jamaica,South Korea,2,2,Friendly,Antalya,Turkey,TRUE
31/01/18,Mexico,Bosnia and Herzegovina,1,0,Friendly,San Antonio,United States,TRUE
03/02/18,Latvia,South Korea,0,1,Friendly,Antalya,Turkey,TRUE
26/02/18,Saudi Arabia,Moldova,3,0,Friendly,Jeddah,Saudi Arabia,FALSE
28/02/18,Iraq,Saudi Arabia,4,1,Friendly,Basra,Iraq,FALSE
17/03/18,Iran,Sierra Leone,4,0,Friendly,Tehran,Iran,FALSE
21/03/18,Andorra,Liechtenstein,1,0,Friendly,La Línea de la Concepción,Spain,TRUE
21/03/18,Antigua and Barbuda,Bermuda,3,2,Friendly,St. John's,Antigua and Barbuda,FALSE
21/03/18,Iraq,Qatar,2,3,Friendly,Basra,Iraq,FALSE
21/03/18,Jordan,Kuwait,1,0,Friendly,Amman,Jordan,FALSE
21/03/18,Laos,Cambodia,0,1,Friendly,Vientiane,Laos,FALSE
21/03/18,Madagascar,Togo,0,0,Friendly,Saint-Leu-la-Forêt,France,TRUE
21/03/18,South Africa,Angola,1,1,Friendly,Ndola,Zambia,TRUE
21/03/18,Tahiti,New Caledonia,0,0,Friendly,Pirae,Tahiti,FALSE
21/03/18,Zambia,Zimbabwe,2,2,Friendly,Ndola,Zambia,FALSE
22/03/18,Algeria,Tanzania,4,1,Friendly,Algiers,Algeria,FALSE
22/03/18,Bahrain,Palestine,0,0,Friendly,Riffa,Bahrain,FALSE
22/03/18,Belize,Grenada,4,2,Friendly,Belmopan,Belize,FALSE
22/03/18,Burkina Faso,Guinea-Bissau,2,0,Friendly,Limeil-Brévannes,France,TRUE
22/03/18,China PR,Wales,0,6,Friendly,Nanning,China PR,FALSE
22/03/18,Denmark,Panama,1,0,Friendly,Brøndby,Denmark,FALSE
22/03/18,Dominican Republic,Turks and Caicos Islands,4,0,Friendly,Santo Domingo,Dominican Republic,FALSE
22/03/18,Faroe Islands,Latvia,1,1,Friendly,San Pedro Alcántara,Spain,TRUE
22/03/18,Kyrgyzstan,Myanmar,5,1,AFC Asian Cup qualification,Incheon,South Korea,TRUE
22/03/18,Macau,Mauritius,0,1,Friendly,Macau,Macau,FALSE
22/03/18,Malaysia,Mongolia,2,2,Friendly,Kuala Lumpur,Malaysia,FALSE
22/03/18,Malta,Luxembourg,0,1,Friendly,Attard,Malta,FALSE
22/03/18,Nicaragua,Cuba,3,1,Friendly,Managua,Nicaragua,FALSE
22/03/18,Philippines,Fiji,3,2,Friendly,Manila,Philippines,FALSE
22/03/18,Slovakia,United Arab Emirates,2,1,Friendly,Bangkok,Thailand,TRUE
22/03/18,Thailand,Gabon,0,0,Friendly,Bangkok,Thailand,FALSE
23/03/18,Austria,Slovenia,3,0,Friendly,Klagenfurt,Austria,FALSE
23/03/18,Azerbaijan,Belarus,0,1,Friendly,Baku,Azerbaijan,FALSE
23/03/18,Bulgaria,Bosnia and Herzegovina,0,1,Friendly,Razgrad,Bulgaria,FALSE
23/03/18,Curaçao,Bolivia,1,1,Friendly,Willemstad,Curaçao,FALSE
23/03/18,Cyprus,Montenegro,0,0,Friendly,Nicosia,Cyprus,FALSE
23/03/18,Finland,North Macedonia,0,0,Friendly,Belek,Turkey,TRUE
23/03/18,France,Colombia,2,3,Friendly,Saint-Denis,France,FALSE
23/03/18,Gambia,Central African Republic,1,1,Friendly,Bakau,Gambia,FALSE
23/03/18,Germany,Spain,1,1,Friendly,Düsseldorf,Germany,FALSE
23/03/18,Greece,Switzerland,0,1,Friendly,Athens,Greece,FALSE
23/03/18,Guadeloupe,Trinidad and Tobago,0,1,Friendly,Les Abymes,Guadeloupe,FALSE
23/03/18,Hungary,Kazakhstan,2,3,Friendly,Budapest,Hungary,FALSE
23/03/18,Italy,Argentina,0,2,Friendly,Manchester,England,TRUE
23/03/18,Japan,Mali,1,1,Friendly,Liège,Belgium,TRUE
23/03/18,Mexico,Iceland,3,0,Friendly,Santa Clara,United States,TRUE
